dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20201005,\N,\N,인천광역시,0.150789932,0.848614427,0.449390993,0.550013365,0.161198989,0.838679196,0.314250812,0.685627372
20201005,\N,\N,울산광역시,0.163487786,0.834312093,0.440367383,0.557432496,0.176182206,0.823471731,0.34049936,0.65915248
20201005,\N,\N,세종특별자치시,0.149780317,0.840904511,0.441469139,0.549215688,0.176266894,0.821515929,0.336313404,0.661469419
20201005,\N,\N,서울특별시,0.136424528,0.863494381,0.431540095,0.568378814,0.148591228,0.85137911,0.28943787,0.710532469
20201005,\N,\N,부산광역시,0.148935485,0.850571105,0.421855745,0.577650845,0.158677686,0.841157844,0.30854044,0.69129509
20201005,\N,\N,대전광역시,0.142943457,0.855154426,0.428303902,0.569793982,0.163008546,0.836540456,0.323313583,0.676235419
20201005,\N,\N,대구광역시,0.140434896,0.858912439,0.441137009,0.558210326,0.155984422,0.843877877,0.338771027,0.661091272
20201005,\N,\N,광주광역시,0.154844231,0.843728948,0.448644556,0.549928623,0.171499577,0.828230011,0.344525626,0.655203962
20201005,\N,\N,경상북도,0.158722306,0.840680008,0.429090021,0.570312292,0.174538312,0.825329945,0.347485628,0.652382629
20201005,\N,\N,경상남도,0.157162654,0.842423862,0.442048959,0.557537557,0.169413891,0.830497243,0.343807348,0.656103052
20201005,\N,\N,경기도,0.15116788,0.848822517,0.4571647,0.542825697,0.165081319,0.834915911,0.323852969,0.676144261
20201005,\N,\N,강원도,0.147806764,0.850985728,0.404156985,0.594635507,0.168045595,0.831755261,0.329733757,0.67006868
20201005,\N,\N,\N,0.149550732,0.849820873,0.440150662,0.559220944,0.164017488,0.835859322,0.324064257,0.675812457
20201012,0,\N,\N,0.054487289,0.939610059,0.1032161,0.890881248,0.119282219,0.87371963,0.199748715,0.793250526
20201012,10,\N,\N,0.093923441,0.905941901,0.222459375,0.777405967,0.107311251,0.892549394,0.199921234,0.799939411
20201012,20,\N,\N,0.18338151,0.816493818,0.421028464,0.578846865,0.219097738,0.780834731,0.325474343,0.674458126
20201012,30,\N,\N,0.177679095,0.82226702,0.523758745,0.47618737,0.20097019,0.798997126,0.361030356,0.638936961
20201012,40,\N,\N,0.170006315,0.829974703,0.534691718,0.4652893,0.168913517,0.831067741,0.355481582,0.644499677
20201012,50,\N,\N,0.17202102,0.827949501,0.5282524,0.47171812,0.166960554,0.833022015,0.391177144,0.608805425
20201012,60,\N,\N,0.142795682,0.857156151,0.421524793,0.57842704,0.143899523,0.856065539,0.352176539,0.647788522
20201012,70,\N,\N,0.089868897,0.9099246,0.261203827,0.738589669,0.091034879,0.908814755,0.226048728,0.773800237
20201012,\N,1,\N,0.184809627,0.815001512,0.50739404,0.492417099,0.186517627,0.813296203,0.363336141,0.636477597
20201012,\N,2,\N,0.122614548,0.877222453,0.3785139,0.6213231,0.141202066,0.858628908,0.299312626,0.700518249
20201012,\N,\N,충청북도,0.157419425,0.842202455,0.432766509,0.566855372,0.174088768,0.825664906,0.350896617,0.648857056
20201012,\N,\N,충청남도,0.165606096,0.834138104,0.448002392,0.551741808,0.184227095,0.815549531,0.360796417,0.638980209
20201012,\N,\N,제주특별자치도,0.172942456,0.825360027,0.454273849,0.544028635,0.181616254,0.81660907,0.380633633,0.617591691
20201012,\N,\N,전라북도,0.158794064,0.840861161,0.435908767,0.563746458,0.172389874,0.827302963,0.350701234,0.648991602
20201012,\N,\N,전라남도,0.172772447,0.826935967,0.442023806,0.557684608,0.188314914,0.811478941,0.363126918,0.636662868
20201012,\N,\N,인천광역시,0.156215323,0.843652157,0.453665073,0.546202407,0.161987018,0.837856285,0.320158877,0.679684426
20201012,\N,\N,울산광역시,0.169963468,0.829371167,0.447339132,0.551995503,0.178598398,0.820813897,0.358563736,0.64084856
20201012,\N,\N,세종특별자치시,0.155821713,0.840974563,0.449627658,0.547168618,0.178363767,0.818553405,0.350490368,0.646426803
20201012,\N,\N,서울특별시,0.141367584,0.858608753,0.436978353,0.562997984,0.146892112,0.853069645,0.296250274,0.703711483
20201012,\N,\N,부산광역시,0.153726371,0.846119441,0.426941378,0.572904434,0.158936917,0.840844184,0.32107825,0.67870285
